TERMS AND CONDITIONS,,,,,,,
https://www.bankofcanada.ca/terms/,,,,,,,
,,,,,,,
NAME,,,,,,,
Selected Treasury Bill Yields,,,,,,,
,,,,,,,
DESCRIPTION,,,,,,,
"1, 3, 6 and 12 month Treasury bill data.",,,,,,,
,,,,,,,
LINK,,,,,,,
https://www.bankofcanada.ca/?p=39889,,,,,,,
,,,,,,,
SERIES,,,,,,,
id,label,description,,,,,
V80691303,3 month,Treasury bill auction - Average yields,,,,,
V80691304,6 month,Treasury bill auction - Average yields,,,,,
V80691305,1 year,Treasury bill auction - Average yields,,,,,
V80691342,1 month,Treasury bills,,,,,
V80691344,3 month,Treasury bills,,,,,
V80691345,6 month,Treasury bills,,,,,
V80691346,1 year,Treasury bills,,,,,
,,,,,,,
OBSERVATIONS,,,,,,,
date,V80691303,V80691304,V80691305,V80691342,V80691344,V80691345,V80691346
4/01/2000,4.99,5.36,5.83,,,,
5/01/2000,,,,4.65,5,5.36,5.85
12/01/2000,,,,4.64,4.98,5.35,5.84
18/01/2000,5.08,5.39,5.91,,,,
19/01/2000,,,,4.63,5.07,5.38,5.88
26/01/2000,,,,4.73,5.05,5.31,5.75
1/02/2000,5.21,5.49,5.98,,,,
2/02/2000,,,,4.78,5.16,5.45,5.9
9/02/2000,,,,4.65,4.97,5.27,5.87
15/02/2000,5.1,5.39,5.85,,,,
16/02/2000,,,,4.65,5.04,5.36,5.84
23/02/2000,,,,4.74,4.96,5.32,5.77
29/02/2000,5.05,5.42,5.83,,,,
1/03/2000,,,,4.66,4.92,5.36,5.78
8/03/2000,,,,4.86,5.05,5.37,5.81
14/03/2000,5.16,5.46,5.87,,,,
15/03/2000,,,,4.89,5.15,5.45,5.86
22/03/2000,,,,5.04,5.15,5.42,5.81
28/03/2000,5.28,5.56,5.94,,,,
29/03/2000,,,,5.1,5.27,5.55,5.95
5/04/2000,,,,5.04,5.27,5.53,5.83
11/04/2000,5.35,5.58,5.87,,,,
12/04/2000,,,,4.99,5.34,5.58,5.85
19/04/2000,,,,4.97,5.36,5.58,5.86
25/04/2000,5.45,5.74,5.99,,,,
26/04/2000,,,,4.89,5.43,5.75,6
3/05/2000,,,,4.87,5.55,5.85,6.14
9/05/2000,5.66,5.9,6.25,,,,
10/05/2000,,,,4.78,5.65,5.86,6.23
17/05/2000,,,,5.33,5.71,5.99,6.31
23/05/2000,5.75,6.01,6.33,,,,
24/05/2000,,,,5.21,5.74,6.01,6.3
31/05/2000,,,,5.2,5.67,5.97,6.25
6/06/2000,5.61,5.8,6.11,,,,
7/06/2000,,,,5.17,5.55,5.81,6.13
14/06/2000,,,,5.44,5.57,5.79,6.05
20/06/2000,5.55,5.84,6.09,,,,
21/06/2000,,,,5.45,5.56,5.86,6.12
28/06/2000,,,,5.46,5.53,5.79,6.07
4/07/2000,5.55,5.77,5.99,,,,
5/07/2000,,,,5.4,5.57,5.76,5.95
12/07/2000,,,,5.48,5.59,5.72,5.95
18/07/2000,5.63,5.82,6.02,,,,
19/07/2000,,,,5.46,5.63,5.81,6.02
26/07/2000,,,,5.45,5.61,5.73,5.94
1/08/2000,5.65,5.79,5.97,,,,
2/08/2000,,,,5.43,5.64,5.77,5.93
9/08/2000,,,,5.39,5.6,5.73,5.85
15/08/2000,5.66,5.79,5.92,,,,
16/08/2000,,,,5.33,5.65,5.77,5.92
23/08/2000,,,,5.48,5.62,5.73,5.87
29/08/2000,5.62,5.77,5.92,,,,
30/08/2000,,,,5.39,5.58,5.74,5.9
6/09/2000,,,,5.43,5.59,5.72,5.85
12/09/2000,5.6,5.75,5.89,,,,
13/09/2000,,,,5.37,5.57,5.72,5.86
20/09/2000,,,,5.41,5.57,5.7,5.81
26/09/2000,5.56,5.72,5.81,,,,
27/09/2000,,,,5.39,5.56,5.71,5.81
4/10/2000,,,,5.39,5.55,5.71,5.82
10/10/2000,5.62,5.77,5.87,,,,
11/10/2000,,,,5.39,5.61,5.74,5.83
18/10/2000,,,,5.37,5.62,5.71,5.78
24/10/2000,5.62,5.74,5.82,,,,
25/10/2000,,,,5.39,5.61,5.72,5.79
1/11/2000,,,,5.38,5.62,5.74,5.85
7/11/2000,5.68,5.82,5.93,,,,
8/11/2000,,,,5.36,5.69,5.84,5.95
15/11/2000,,,,5.4,5.71,5.83,5.95
21/11/2000,5.74,5.88,5.97,,,,
22/11/2000,,,,5.38,5.7,5.83,5.91
29/11/2000,,,,5.49,5.62,5.72,5.8
5/12/2000,5.55,5.65,5.67,,,,
6/12/2000,,,,5.37,5.52,5.59,5.61
13/12/2000,,,,5.42,5.54,5.56,5.56
19/12/2000,5.56,5.58,5.56,,,,
20/12/2000,,,,5.43,5.53,5.51,5.48
27/12/2000,,,,5.45,5.49,5.46,5.41
2/01/2001,5.45,5.38,5.24,,,,
3/01/2001,,,,5.31,5.34,5.26,5.18
10/01/2001,,,,5.18,5.24,5.14,5.04
16/01/2001,5.24,5.18,5.1,,,,
17/01/2001,,,,5.21,5.26,5.18,5.13
24/01/2001,,,,5.19,5.23,5.15,5.1
30/01/2001,5.14,5.05,4.96,,,,
31/01/2001,,,,5.17,5.11,5,4.9
7/02/2001,,,,5.17,5.13,4.96,4.93
13/02/2001,5.13,5.01,4.98,,,,
14/02/2001,,,,5.17,5.15,5.03,5.05
21/02/2001,,,,5.16,5.04,4.88,4.88
27/02/2001,4.8,4.74,4.72,,,,
28/02/2001,,,,5.04,4.87,4.8,4.79
7/03/2001,,,,4.85,4.74,4.68,4.65
13/03/2001,4.66,4.64,4.64,,,,
14/03/2001,,,,4.77,4.59,4.53,4.53
21/03/2001,,,,4.67,4.47,4.36,4.34
27/03/2001,4.6,4.58,4.58,,,,
28/03/2001,,,,4.7,4.58,4.52,4.52
4/04/2001,,,,4.74,4.61,4.54,4.52
10/04/2001,4.49,4.53,4.53,,,,
11/04/2001,,,,4.59,4.52,4.53,4.54
18/04/2001,,,,4.5,4.45,4.42,4.42
24/04/2001,4.41,4.36,4.43,,,,
25/04/2001,,,,4.56,4.43,4.4,4.45
2/05/2001,,,,4.52,4.42,4.39,4.51
8/05/2001,4.31,4.28,4.38,,,,
9/05/2001,,,,4.46,4.28,4.23,4.34
16/05/2001,,,,4.37,4.28,4.28,4.38
22/05/2001,4.4,4.45,4.6,,,,
23/05/2001,,,,4.39,4.38,4.43,4.57
30/05/2001,,,,4.32,4.34,4.41,4.55
5/06/2001,4.32,4.38,4.5,,,,
6/06/2001,,,,4.3,4.29,4.34,4.46
13/06/2001,,,,4.26,4.24,4.28,4.41
19/06/2001,4.24,4.29,4.39,,,,
20/06/2001,,,,4.25,4.21,4.26,4.36
27/06/2001,,,,4.28,4.3,4.37,4.47
3/07/2001,4.36,4.47,4.63,,,,
4/07/2001,,,,4.25,4.33,4.44,4.6
11/07/2001,,,,4.22,4.22,4.3,4.46
17/07/2001,4.16,4.27,4.45,,,,
18/07/2001,,,,4.1,4.1,4.18,4.33
25/07/2001,,,,4.08,4.07,4.1,4.28
31/07/2001,4.03,4.06,4.21,,,,
1/08/2001,,,,4.07,4.03,4.05,4.22
8/08/2001,,,,4,3.99,3.98,4.12
14/08/2001,3.95,3.97,4.09,,,,
15/08/2001,,,,3.94,3.96,3.98,4.13
22/08/2001,,,,3.92,3.9,3.88,4.02
28/08/2001,3.81,3.84,3.9,,,,
29/08/2001,,,,3.81,3.8,3.79,3.84
5/09/2001,,,,3.79,3.78,3.78,3.81
11/09/2001,3.35,3.38,3.38,,,,
12/09/2001,,,,3.69,3.4,3.38,3.38
19/09/2001,,,,3.18,3.1,3.01,3.01
25/09/2001,3.04,2.98,2.99,,,,
26/09/2001,,,,3.14,3.05,2.96,2.97
3/10/2001,,,,3.11,3.02,2.9,2.9
9/10/2001,2.96,2.87,2.89,,,,
10/10/2001,,,,3.08,2.97,2.89,2.92
17/10/2001,,,,2.91,2.86,2.84,2.91
23/10/2001,2.54,2.53,2.63,,,,
24/10/2001,,,,2.5,2.45,2.44,2.54
31/10/2001,,,,2.4,2.34,2.26,2.3
6/11/2001,2.28,2.27,2.32,,,,
7/11/2001,,,,2.25,2.15,2.08,2.1
14/11/2001,,,,2.2,2.19,2.16,2.27
20/11/2001,2.21,2.31,2.54,,,,
21/11/2001,,,,2.23,2.2,2.27,2.56
28/11/2001,,,,2.14,2.07,2.13,2.48
4/12/2001,2.05,2.05,2.35,,,,
5/12/2001,,,,2.13,2.06,2.13,2.47
12/12/2001,,,,2.03,2,2,2.26
18/12/2001,2,2.06,2.35,,,,
19/12/2001,,,,1.98,1.99,2.01,2.28
26/12/2001,,,,1.98,1.95,1.95,2.2
1/01/2002,1.91,1.98,2.28,,,,
2/01/2002,,,,1.96,1.91,1.97,2.2
9/01/2002,,,,1.89,1.89,1.94,2.19
15/01/2002,1.9,1.96,2.15,,,,
16/01/2002,,,,1.88,1.9,1.92,2.12
23/01/2002,,,,1.87,1.91,2.02,2.3
29/01/2002,1.97,2.12,2.45,,,,
30/01/2002,,,,1.93,1.96,2.11,2.44
6/02/2002,,,,1.88,1.96,2.08,2.4
12/02/2002,2,2.15,2.48,,,,
13/02/2002,,,,1.91,2.03,2.19,2.54
20/02/2002,,,,1.94,2.02,2.14,2.49
26/02/2002,2.07,2.22,2.64,,,,
27/02/2002,,,,1.95,2.05,2.19,2.57
6/03/2002,,,,1.97,2.06,2.22,2.66
12/03/2002,2.15,2.44,3.05,,,,
13/03/2002,,,,1.99,2.14,2.41,3.04
