"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Selected Treasury Bill Yields"

"DESCRIPTION"
"1, 3, 6 and 12 month Treasury bill data."

"LINK"
"https://www.bankofcanada.ca/?p=39889"

"SERIES"
"id","label","description"
"V80691303","3 month","Treasury bill auction - Average yields"
"V80691304","6 month","Treasury bill auction - Average yields"
"V80691305","1 year","Treasury bill auction - Average yields"
"V80691342","1 month","Treasury bills"
"V80691344","3 month","Treasury bills"
"V80691345","6 month","Treasury bills"
"V80691346","1 year","Treasury bills"

"OBSERVATIONS"
"date","V80691303","V80691304","V80691305","V80691342","V80691344","V80691345","V80691346"
"2000-01-04","4.99","5.36","5.83","","","",""
"2000-01-05","","","","4.65","5.00","5.36","5.85"
"2000-01-12","","","","4.64","4.98","5.35","5.84"
"2000-01-18","5.08","5.39","5.91","","","",""
"2000-01-19","","","","4.63","5.07","5.38","5.88"
"2000-01-26","","","","4.73","5.05","5.31","5.75"
"2000-02-01","5.21","5.49","5.98","","","",""
"2000-02-02","","","","4.78","5.16","5.45","5.90"
"2000-02-09","","","","4.65","4.97","5.27","5.87"
"2000-02-15","5.10","5.39","5.85","","","",""
"2000-02-16","","","","4.65","5.04","5.36","5.84"
"2000-02-23","","","","4.74","4.96","5.32","5.77"
"2000-02-29","5.05","5.42","5.83","","","",""
"2000-03-01","","","","4.66","4.92","5.36","5.78"
"2000-03-08","","","","4.86","5.05","5.37","5.81"
"2000-03-14","5.16","5.46","5.87","","","",""
"2000-03-15","","","","4.89","5.15","5.45","5.86"
"2000-03-22","","","","5.04","5.15","5.42","5.81"
"2000-03-28","5.28","5.56","5.94","","","",""
"2000-03-29","","","","5.10","5.27","5.55","5.95"
"2000-04-05","","","","5.04","5.27","5.53","5.83"
"2000-04-11","5.35","5.58","5.87","","","",""
"2000-04-12","","","","4.99","5.34","5.58","5.85"
"2000-04-19","","","","4.97","5.36","5.58","5.86"
"2000-04-25","5.45","5.74","5.99","","","",""
"2000-04-26","","","","4.89","5.43","5.75","6.00"
"2000-05-03","","","","4.87","5.55","5.85","6.14"
"2000-05-09","5.66","5.90","6.25","","","",""
"2000-05-10","","","","4.78","5.65","5.86","6.23"
"2000-05-17","","","","5.33","5.71","5.99","6.31"
"2000-05-23","5.75","6.01","6.33","","","",""
"2000-05-24","","","","5.21","5.74","6.01","6.30"
"2000-05-31","","","","5.20","5.67","5.97","6.25"
"2000-06-06","5.61","5.80","6.11","","","",""
"2000-06-07","","","","5.17","5.55","5.81","6.13"
"2000-06-14","","","","5.44","5.57","5.79","6.05"
"2000-06-20","5.55","5.84","6.09","","","",""
"2000-06-21","","","","5.45","5.56","5.86","6.12"
"2000-06-28","","","","5.46","5.53","5.79","6.07"
"2000-07-04","5.55","5.77","5.99","","","",""
"2000-07-05","","","","5.40","5.57","5.76","5.95"
"2000-07-12","","","","5.48","5.59","5.72","5.95"
"2000-07-18","5.63","5.82","6.02","","","",""
"2000-07-19","","","","5.46","5.63","5.81","6.02"
"2000-07-26","","","","5.45","5.61","5.73","5.94"
"2000-08-01","5.65","5.79","5.97","","","",""
"2000-08-02","","","","5.43","5.64","5.77","5.93"
"2000-08-09","","","","5.39","5.60","5.73","5.85"
"2000-08-15","5.66","5.79","5.92","","","",""
"2000-08-16","","","","5.33","5.65","5.77","5.92"
"2000-08-23","","","","5.48","5.62","5.73","5.87"
"2000-08-29","5.62","5.77","5.92","","","",""
"2000-08-30","","","","5.39","5.58","5.74","5.90"
"2000-09-06","","","","5.43","5.59","5.72","5.85"
"2000-09-12","5.60","5.75","5.89","","","",""
"2000-09-13","","","","5.37","5.57","5.72","5.86"
"2000-09-20","","","","5.41","5.57","5.70","5.81"
"2000-09-26","5.56","5.72","5.81","","","",""
"2000-09-27","","","","5.39","5.56","5.71","5.81"
"2000-10-04","","","","5.39","5.55","5.71","5.82"
"2000-10-10","5.62","5.77","5.87","","","",""
"2000-10-11","","","","5.39","5.61","5.74","5.83"
"2000-10-18","","","","5.37","5.62","5.71","5.78"
"2000-10-24","5.62","5.74","5.82","","","",""
"2000-10-25","","","","5.39","5.61","5.72","5.79"
"2000-11-01","","","","5.38","5.62","5.74","5.85"
"2000-11-07","5.68","5.82","5.93","","","",""
"2000-11-08","","","","5.36","5.69","5.84","5.95"
"2000-11-15","","","","5.40","5.71","5.83","5.95"
"2000-11-21","5.74","5.88","5.97","","","",""
"2000-11-22","","","","5.38","5.70","5.83","5.91"
"2000-11-29","","","","5.49","5.62","5.72","5.80"
"2000-12-05","5.55","5.65","5.67","","","",""
"2000-12-06","","","","5.37","5.52","5.59","5.61"
"2000-12-13","","","","5.42","5.54","5.56","5.56"
"2000-12-19","5.56","5.58","5.56","","","",""
"2000-12-20","","","","5.43","5.53","5.51","5.48"
"2000-12-27","","","","5.45","5.49","5.46","5.41"
"2001-01-02","5.45","5.38","5.24","","","",""
"2001-01-03","","","","5.31","5.34","5.26","5.18"
"2001-01-10","","","","5.18","5.24","5.14","5.04"
"2001-01-16","5.24","5.18","5.10","","","",""
"2001-01-17","","","","5.21","5.26","5.18","5.13"
"2001-01-24","","","","5.19","5.23","5.15","5.10"
"2001-01-30","5.14","5.05","4.96","","","",""
"2001-01-31","","","","5.17","5.11","5.00","4.90"
"2001-02-07","","","","5.17","5.13","4.96","4.93"
"2001-02-13","5.13","5.01","4.98","","","",""
"2001-02-14","","","","5.17","5.15","5.03","5.05"
"2001-02-21","","","","5.16","5.04","4.88","4.88"
"2001-02-27","4.80","4.74","4.72","","","",""
"2001-02-28","","","","5.04","4.87","4.80","4.79"
"2001-03-07","","","","4.85","4.74","4.68","4.65"
"2001-03-13","4.66","4.64","4.64","","","",""
"2001-03-14","","","","4.77","4.59","4.53","4.53"
"2001-03-21","","","","4.67","4.47","4.36","4.34"
"2001-03-27","4.60","4.58","4.58","","","",""
"2001-03-28","","","","4.70","4.58","4.52","4.52"
"2001-04-04","","","","4.74","4.61","4.54","4.52"
"2001-04-10","4.49","4.53","4.53","","","",""
"2001-04-11","","","","4.59","4.52","4.53","4.54"
"2001-04-18","","","","4.50","4.45","4.42","4.42"
"2001-04-24","4.41","4.36","4.43","","","",""
"2001-04-25","","","","4.56","4.43","4.40","4.45"
"2001-05-02","","","","4.52","4.42","4.39","4.51"
"2001-05-08","4.31","4.28","4.38","","","",""
"2001-05-09","","","","4.46","4.28","4.23","4.34"
"2001-05-16","","","","4.37","4.28","4.28","4.38"
"2001-05-22","4.40","4.45","4.60","","","",""
"2001-05-23","","","","4.39","4.38","4.43","4.57"
"2001-05-30","","","","4.32","4.34","4.41","4.55"
"2001-06-05","4.32","4.38","4.50","","","",""
"2001-06-06","","","","4.30","4.29","4.34","4.46"
"2001-06-13","","","","4.26","4.24","4.28","4.41"
"2001-06-19","4.24","4.29","4.39","","","",""
"2001-06-20","","","","4.25","4.21","4.26","4.36"
"2001-06-27","","","","4.28","4.30","4.37","4.47"
"2001-07-03","4.36","4.47","4.63","","","",""
"2001-07-04","","","","4.25","4.33","4.44","4.60"
"2001-07-11","","","","4.22","4.22","4.30","4.46"
"2001-07-17","4.16","4.27","4.45","","","",""
"2001-07-18","","","","4.10","4.10","4.18","4.33"
"2001-07-25","","","","4.08","4.07","4.10","4.28"
"2001-07-31","4.03","4.06","4.21","","","",""
"2001-08-01","","","","4.07","4.03","4.05","4.22"
"2001-08-08","","","","4.00","3.99","3.98","4.12"
"2001-08-14","3.95","3.97","4.09","","","",""
"2001-08-15","","","","3.94","3.96","3.98","4.13"
"2001-08-22","","","","3.92","3.90","3.88","4.02"
"2001-08-28","3.81","3.84","3.90","","","",""
"2001-08-29","","","","3.81","3.80","3.79","3.84"
"2001-09-05","","","","3.79","3.78","3.78","3.81"
"2001-09-11","3.35","3.38","3.38","","","",""
"2001-09-12","","","","3.69","3.40","3.38","3.38"
"2001-09-19","","","","3.18","3.10","3.01","3.01"
"2001-09-25","3.04","2.98","2.99","","","",""
"2001-09-26","","","","3.14","3.05","2.96","2.97"
"2001-10-03","","","","3.11","3.02","2.90","2.90"
"2001-10-09","2.96","2.87","2.89","","","",""
"2001-10-10","","","","3.08","2.97","2.89","2.92"
"2001-10-17","","","","2.91","2.86","2.84","2.91"
"2001-10-23","2.54","2.53","2.63","","","",""
"2001-10-24","","","","2.50","2.45","2.44","2.54"
"2001-10-31","","","","2.40","2.34","2.26","2.30"
"2001-11-06","2.28","2.27","2.32","","","",""
